Name,Symbol,Industry Group,Industry
Mishtann Foods,,Food Products,Packaged Foods
Piccadily Agro,PICCADIL,Beverages,Breweries & Distilleries
Vibhor Steel,VSTL,Industrial Products,Iron & Steel Products
Sasken Technol.,SASKEN,IT - Services,IT Enabled Services
Tejas Networks,TEJASNET,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Hawkins Cookers,HAWKINCOOK,Consumer Durables,Houseware
Salasar Techno,SALASAR,Industrial Manufacturing,Industrial Products
GTL Infra.,GTLINFRA,Telecom - Services,Telecom - Infrastructure
NOCIL,NOCIL,Chemicals & Petrochemicals,Specialty Chemicals
Jay Bee Laminati,JAYBEE,Industrial Products,Iron & Steel Products
Supershakti Met.,,Industrial Products,Iron & Steel Products
VST Till. Tract.,VSTTILLERS,"Agricultural, Commercial & Construction Vehicles",Tractors
Eveready Inds.,EVEREADY,Household Products,Household Products
SEAMEC Ltd,SEAMECLTD,Transport Services,Shipping
Sarveshwar Foods,SARVESHWAR,Agricultural Food & other Products,Other Agricultural Products
Bajaj Consumer,BAJAJCON,Personal Products,Personal Care
Aequs,AEQUS,Aerospace & Defense,Aerospace & Defense
Vision Infra,VIESL,Commercial Services & Supplies,Diversified Commercial Services
B.L.Kashyap,BLKASHYAP,Construction,Civil Construction
Kewal Kir.Cloth.,KKCL,Textiles & Apparels,Garments & Apparels
BLS E-Services,BLSE,IT - Services,IT Enabled Services
Regaal Resources,REGAAL,Agricultural Food & other Products,Other Agricultural Products
Flair Writing,FLAIR,Household Products,Stationary
Yatharth Hospit.,YATHARTH,Healthcare Services,Hospital
Goldiam Intl.,GOLDIAM,Consumer Durables,"Gems, Jewellery And Watches"
Ador Welding,ADOR,Industrial Products,Other Industrial Products
GE Power,GVPIL,Electrical Equipment,Heavy Electrical Equipment
Petro Carbon,PCCL,Minerals & Mining,Industrial Minerals
Clear Secured,CSSL,Commercial Services & Supplies,Diversified Commercial Services
V R Woodart,,Auto Components,Tyres & Rubber Products
Rajratan Global,RAJRATAN,Auto Components,Auto Components & Equipments
TCI Express,TCIEXP,Transport Services,Logistics Solution Provider
Fineotex Chem,FCL,Chemicals & Petrochemicals,Specialty Chemicals
Rupa & Co,RUPA,Textiles & Apparels,Garments & Apparels
Ajanta Soya,,Agricultural Food & other Products,Edible Oil
Powergrid Infra.,PGINVIT,Power,Power - Transmission
Responsive Ind,RESPONIND,Consumer Durables,"Furniture, Home Furnishing"
Balu Forge,BALUFORGE,Industrial Products,Castings & Forgings
Danish Power,DANISH,Electrical Equipment,Heavy Electrical Equipment
Patel Retail,PATELRMART,Retailing,Diversified Retail
Sahaj Solar,SAHAJSOLAR,Electrical Equipment,Other Electrical Equipment
Le Travenues,IXIGO,Leisure Services,"Tour, Travel Related Services"
Kellton Tech,KELLTONTEC,IT - Services,IT Enabled Services
Protean eGov,PROTEAN,IT - Services,IT Enabled Services
Sri Lotus,LOTUSDEV,Realty,"Residential, Commercial Projects"
Just Dial,JUSTDIAL,Retailing,Internet & Catalogue Retail
Vega Jewellers,,Commercial Services & Supplies,Trading & Distributors
Choice Intl.,CHOICEIN,Finance,Holding Company
Goodricke Group,,Agricultural Food & other Products,Tea & Coffee
MTAR Technologie,MTARTECH,Aerospace & Defense,Aerospace & Defense
Rolex Rings,ROLEXRINGS,Auto Components,Auto Components & Equipments
Aether Industri.,AETHER,Chemicals & Petrochemicals,Specialty Chemicals
Cosmic CRF,,Industrial Products,Iron & Steel Products
Coastal Corporat,COASTCORP,Food Products,Seafood
Tejas Cargo,TEJASCARGO,Transport Services,Logistics Solution Provider
Juniper Hotels,JUNIPER,Leisure Services,Hotels & Resorts
Heranba Inds,HERANBA,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Archean Chemical,ACI,Chemicals & Petrochemicals,Specialty Chemicals
Media Matrix,MMWL,Entertainment,"Film Production, Distribution & Exhibition"
Enkei Wheels,,Auto Components,Auto Components & Equipments
Dish TV India,DISHTV,Entertainment,TV Broadcasting & Software Production
Manaksia Steels,MANAKSTEEL,Ferrous Metals,Iron & Steel
Tsf Investments,TSFINV,Finance,Investment Company
Venus Pipes,VENUSPIPES,Industrial Products,Iron & Steel Products
International Ge,IGIL,Commercial Services & Supplies,Diversified Commercial Services
Tata Tele. Mah.,TTML,Telecom - Services,Telecom - Cellular & Fixed line services
Raj Rayon Inds.,RAJRILTD,Textiles & Apparels,Other Textile Products
Shreeji Global,SHETHJI,Agricultural Food & other Products,Other Agricultural Products
Bhavik Enterpris,,Chemicals & Petrochemicals,Trading - Chemicals
Elin Electronics,ELIN,Consumer Durables,Household Appliances
Apollo Micro Sys,APOLLO,Aerospace & Defense,Aerospace & Defense
Manali Petrochem,MANALIPETC,Chemicals & Petrochemicals,Petrochemicals
Guj Pipavav Port,GPPL,Transport Infrastructure,Port & Port services
NILE,NILE,Minerals & Mining,Industrial Minerals
Magadh Sugar,MAGADSUGAR,Agricultural Food & other Products,Sugar
Grauer & Weil,GRAUWEIL,Chemicals & Petrochemicals,Commodity Chemicals
Kuantum Papers,KUANTUM,"Paper, Forest & Jute Products",Paper & Paper Products
Rama Steel Tubes,RAMASTEEL,Industrial Products,Iron & Steel Products
Autoline Industr,AUTOIND,Auto Components,Auto Components & Equipments
Eleganz Interior,ELGNZ,Commercial Services & Supplies,Diversified Commercial Services
One Mobikwik,MOBIKWIK,Financial Technology (Fintech),Financial Technology (Fintech)
Latent View,LATENTVIEW,IT - Software,Computers - Software & Consulting
Sedemac Mechatro,SEDEMAC,Auto Components,Auto Components & Equipments
Saregama India,SAREGAMA,Entertainment,Media & Entertainment
Roadstar Infra,ROADSTAR,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Coffee Day Enter,COFFEEDAY,Leisure Services,Restaurants
Expleo Solutions,EXPLEOSOL,IT - Services,IT Enabled Services
J.G.Chemicals,JGCHEM,Chemicals & Petrochemicals,Commodity Chemicals
Positron Energy,POSITRON,Commercial Services & Supplies,Diversified Commercial Services
Borosil,BOROLTD,Consumer Durables,Houseware
RBM Infracon,RBMINFRA,Commercial Services & Supplies,Diversified Commercial Services
Stylam Industrie,STYLAMIND,Consumer Durables,Plywood Boards/ Laminates
Everest Inds.,EVERESTIND,Other Construction Materials,Other Construction Materials
Capital Infra,CAPINVIT,Construction,Civil Construction
Oriental Aromat.,OAL,Chemicals & Petrochemicals,Specialty Chemicals
Scan Steels,SCANSTL,Ferrous Metals,Iron & Steel
Uniparts India,UNIPARTS,Auto Components,Auto Components & Equipments
Quality Power El,QPOWER,Electrical Equipment,Heavy Electrical Equipment
Monte Carlo Fas.,MONTECARLO,Textiles & Apparels,Garments & Apparels
Hind Rectifiers,HIRECT,Industrial Manufacturing,Industrial Products
IRM Energy,IRMENERGY,Gas,LPG/CNG/PNG/LNG Supplier
Crizac,CRIZAC,Retailing,Internet & Catalogue Retail
String Metaverse,,IT - Services,IT Enabled Services
Concord Biotech,CONCORDBIO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sicagen India,SICAGEN,Commercial Services & Supplies,Trading & Distributors
Indo Amines,INDOAMIN,Chemicals & Petrochemicals,Specialty Chemicals
Anand Rathi Wea.,ANANDRATHI,Capital Markets,Financial Products Distributor
Mishra Dhatu Nig,MIDHANI,Aerospace & Defense,Aerospace & Defense
Artemis Medicare,ARTEMISMED,Healthcare Services,Hospital
DCM Shriram Inds,DCMSRIND,Agricultural Food & other Products,Sugar
Mayur Uniquoters,MAYURUNIQ,Consumer Durables,Leather And Leather Products
Capital Small,CAPITALSFB,Banks,Other Bank
GIC Housing Fin,GICHSGFIN,Finance,Housing Finance Company
Shalby,SHALBY,Healthcare Services,Hospital
India Nipp.Elec.,INDNIPPON,Auto Components,Auto Components & Equipments
Auto.Corp.of Goa,,Auto Components,Auto Components & Equipments
Bhageria Indust.,BHAGERIA,Chemicals & Petrochemicals,Dyes And Pigments
Bharat Rasayan,BHARATRAS,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Honda India,HONDAPOWER,Industrial Manufacturing,Industrial Products
GSP Crop Science,GSPCROP,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Goldstar Power,GOLDSTAR,Auto Components,Auto Components & Equipments
EFC (I),EFCIL,Commercial Services & Supplies,Diversified Commercial Services
Pasupati Acrylon,PASUPTAC,Chemicals & Petrochemicals,Petrochemicals
E to E Transportation,E2ERAIL,Construction,Civil Construction
Delton Cables,,Electrical Equipment,Other Electrical Equipment
Allied Digital,ADSL,IT - Services,IT Enabled Services
Sayaji Industr,,Agricultural Food & other Products,Other Agricultural Products
Cool Caps,COOLCAPS,Industrial Products,Packaging
Sumeet Industrie,SUMEETINDS,Textiles & Apparels,Other Textile Products
Vikran Engg.,VIKRAN,Construction,Civil Construction
Kanoria Chem.,KANORICHEM,Industrial Manufacturing,Industrial Products
Nephrocare Health Services,NEPHROPLUS,Healthcare Services,Healthcare Service Provider
Blue Cloud Soft.,,IT - Software,Software Products
Kolte Patil Dev.,KOLTEPATIL,Realty,"Residential, Commercial Projects"
Ola Electric,OLAELEC,Automobiles,2/3 Wheelers
Mangalam World.,MWL,Metals & Minerals Trading,Trading - Metals
Apex Frozen Food,APEX,Food Products,Seafood
DCM Nouvelle,DCMNVL,Textiles & Apparels,Other Textile Products
C D S L,CDSL,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Jocil,JOCIL,Chemicals & Petrochemicals,Commodity Chemicals
Zuari Industries,ZUARIIND,Agricultural Food & other Products,Sugar
Antony Waste han,AWHCL,Other Utilities,Waste Management
Maheshwari Logi.,MAHESHWARI,Diversified,Diversified
Moksh Ornaments,MOKSH,Consumer Durables,"Gems, Jewellery And Watches"
20 Microns,20MICRONS,Minerals & Mining,Industrial Minerals
Paisalo Digital,PAISALO,Finance,Non Banking Financial Company (NBFC)
Astra Microwave,ASTRAMICRO,Aerospace & Defense,Aerospace & Defense
SJS Enterprises,SJS,Auto Components,Auto Components & Equipments
Maral Overseas,MARALOVER,Textiles & Apparels,Other Textile Products
Trigyn Techno.,TRIGYN,IT - Software,Computers - Software & Consulting
RNFI Services,RNFI,Finance,Other Financial Services
Precot,PRECOT,Textiles & Apparels,Other Textile Products
Bliss GVS Pharma,BLISSGVS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yatra Online,YATRA,Leisure Services,"Tour, Travel Related Services"
Aarti Surfactant,AARTISURF,Chemicals & Petrochemicals,Specialty Chemicals
Automotive Stamp,ASAL,Auto Components,Auto Components & Equipments
Anand Rathi Shar,ARSSBL,Capital Markets,Stockbroking & Allied
Kriti Nutrients,KRITINUT,Agricultural Food & other Products,Edible Oil
Systematic Inds.,,Industrial Products,Cables - Electricals
Cantabil Retail,CANTABIL,Textiles & Apparels,Garments & Apparels
Vascon Engineers,VASCONEQ,Realty,"Residential, Commercial Projects"
Saksoft,SAKSOFT,IT - Software,Computers - Software & Consulting
Tembo Global,TEMBO,Industrial Products,Iron & Steel Products
Rajputana Stain.,RSL,Industrial Products,Iron & Steel Products
Som Distilleries,SDBL,Beverages,Breweries & Distilleries
Enviro Infra,EIEL,Other Utilities,Water Supply & Management
Annapurna Swadi.,ANNAPURNA,Food Products,Packaged Foods
Clean Science,CLEAN,Chemicals & Petrochemicals,Specialty Chemicals
Ratnaveer Precis,RATNAVEER,Industrial Products,Iron & Steel Products
Deep Industries,DEEPINDS,Oil,Oil Equipment & Services
